date,amount,category,description
05-01-2026,2500.00,Income,Salary
10-01-2026,45.50,Expense,Groceries
12-01-2026,120.00,Expense,Utilities
15-01-2026,500.00,Income,Freelance
20-01-2026,60.00,Expense,Dining
01-02-2026,2500.00,Income,Salary
05-02-2026,70.25,Expense,Groceries
14-02-2026,30.00,Expense,Transport
18-02-2026,200.00,Expense,Shopping
25-02-2026,150.00,Income,Bonus
01-03-2026,2500.00,Income,Salary
03-03-2026,55.75,Expense,Groceries
10-03-2026,80.00,Expense,Utilities
15-03-2026,300.00,Income,Freelance
20-03-2026,40.00,Expense,Subscription
01-04-2026,2500.00,Income,Salary
07-04-2026,120.00,Expense,Repairs
12-04-2026,65.00,Expense,Groceries
18-04-2026,450.00,Income,Project Payment
22-04-2026,25.00,Expense,Coffee
01-05-2026,2500.00,Income,Salary
06-05-2026,95.00,Expense,Groceries
14-05-2026,200.00,Expense,Health
20-05-2026,600.00,Income,Freelance
25-05-2026,50.00,Expense,Gas
01-06-2026,2500.00,Income,Salary
04-06-2026,110.00,Expense,Groceries
15-06-2026,75.00,Expense,Utilities
20-06-2026,350.00,Income,Dividend
01-07-2026,2500.00,Income,Salary
10-07-2026,120.00,Expense,Groceries
15-07-2026,400.00,Income,Freelance
20-07-2026,1500.0,Expense,Healthcare
